motif,motif_len,support_total,support_correct,support_incorrect,support_rate,p_correct_given_motif,p_incorrect_given_motif,baseline_correct_rate,baseline_incorrect_rate,delta_correct_vs_baseline,lift_correct,lift_incorrect,log_odds_ratio,indicator_direction,indicator_strength
rewrite rewrite compute,3,116,55,61,0.04959384352287302,0.47413793103448276,0.5258620689655172,0.5096194955109021,0.4903805044890979,-0.03548156447641937,0.9303763596389724,1.0723551694074496,-0.14852550518870464,failure,0.03548156447641937
analyze instantiate,2,1276,606,670,0.5455322787516033,0.47492163009404387,0.5250783699059561,0.5096194955109021,0.4903805044890979,-0.034697865416858265,0.9319141718036649,1.0707570245946219,-0.30592748251037366,failure,0.034697865416858265
compute simplify,2,287,156,131,0.12270200940572894,0.5435540069686411,0.4564459930313589,0.5096194955109021,0.4903805044890979,0.03393451145773896,1.0665879381708485,0.9307996318224485,0.15456485955495566,success,0.03393451145773896
instantiate compute apply-formula,3,166,79,87,0.07097050021376657,0.4759036144578313,0.5240963855421686,0.5096194955109021,0.4903805044890979,-0.03371588105307083,0.933841068973882,1.068754529889392,-0.14464948439596778,failure,0.03371588105307083
instantiate apply-formula,2,642,306,336,0.2744762719110731,0.4766355140186916,0.5233644859813084,0.5096194955109021,0.4903805044890979,-0.032983981492210546,0.9352772376591607,1.067262016312363,-0.1817771322681332,failure,0.032983981492210546
analyze,1,1950,931,1019,0.8336896109448483,0.4774358974358974,0.5225641025641026,0.5096194955109021,0.4903805044890979,-0.032183598075004705,0.9368477886766476,1.0656298482104933,-0.80077677914257,failure,0.032183598075004705
instantiate compute compute compute,4,178,85,93,0.07610089781958101,0.47752808988764045,0.5224719101123596,0.5096194955109021,0.4903805044890979,-0.03209140562326168,0.937028693160395,1.065441846340723,-0.13848356235238835,failure,0.03209140562326168
compute instantiate,2,309,167,142,0.13210773834972211,0.540453074433657,0.459546925566343,0.5096194955109021,0.4903805044890979,0.030833578922754845,1.060503138506983,0.9371231550999793,0.1419459832566873,success,0.030833578922754845
compute compute apply-formula,3,124,67,57,0.05301410859341599,0.5403225806451613,0.4596774193548387,0.5096194955109021,0.4903805044890979,0.030703085134259123,1.0602470772894566,0.9373892623112186,0.1287515753700762,success,0.030703085134259123
compute derive-intermediate compute,3,106,51,55,0.045318512184694314,0.4811320754716981,0.5188679245283019,0.5096194955109021,0.4903805044890979,-0.028487420039204014,0.9441006078257566,1.0580924807948544,-0.11867575208280337,failure,0.028487420039204014
rewrite rewrite,2,320,154,166,0.1368106028217187,0.48125,0.51875,0.5096194955109021,0.4903805044890979,-0.02836949551090212,0.944332005033557,1.0578520052310376,-0.13125184268234963,failure,0.02836949551090212
analyze rewrite,2,188,101,87,0.08037622915775973,0.5372340425531915,0.4627659574468085,0.5096194955109021,0.4903805044890979,0.027614547042289384,1.0541865986005998,0.9436875104342503,0.11960760313301182,success,0.027614547042289384
check-constraint derive-intermediate,2,110,59,51,0.0470286447199658,0.5363636363636364,0.4636363636363636,0.5096194955109021,0.4903805044890979,0.026744140852734244,1.0524786455155581,0.9454624712689228,0.11120760279225297,success,0.026744140852734244
compute instantiate compute,3,140,75,65,0.059854638734501926,0.5357142857142857,0.4642857142857143,0.5096194955109021,0.4903805044890979,0.026094790203383567,1.0512044582933844,0.9467866483995516,0.11026164700269381,success,0.026094790203383567
compute compute,2,1070,518,552,0.45746045318512185,0.48411214953271026,0.5158878504672897,0.5096194955109021,0.4903805044890979,-0.025507345978191875,0.9499482531518534,1.0520154160793291,-0.1880836925747817,failure,0.025507345978191875
analyze apply-formula compute,3,114,61,53,0.04873877725523728,0.5350877192982456,0.4649122807017544,0.5096194955109021,0.4903805044890979,0.02546822378734348,1.0499749793947957,0.9480643631747196,0.1061089727998371,success,0.02546822378734348
derive-intermediate rewrite,2,114,61,53,0.04873877725523728,0.5350877192982456,0.4649122807017544,0.5096194955109021,0.4903805044890979,0.02546822378734348,1.0499749793947957,0.9480643631747196,0.1061089727998371,success,0.02546822378734348
compute rewrite compute,3,227,110,117,0.09705002137665669,0.4845814977973568,0.5154185022026432,0.5096194955109021,0.4903805044890979,-0.025037997713545312,0.950869230996659,1.0510583057122775,-0.11065187217253736,failure,0.025037997713545312
compute derive-intermediate,2,274,133,141,0.11714407866609662,0.4854014598540146,0.5145985401459854,0.5096194955109021,0.4903805044890979,-0.024218035656887515,0.9524782001665605,1.0493862122070268,-0.10951637187149564,failure,0.024218035656887515
derive-intermediate,1,899,437,462,0.38435228730226595,0.4860956618464961,0.5139043381535039,0.5096194955109021,0.4903805044890979,-0.023523833664406024,0.9538403968615389,1.0479705727472062,-0.15280113386523597,failure,0.023523833664406024
instantiate rewrite,2,388,205,183,0.1658828559213339,0.5283505154639175,0.47164948453608246,0.5096194955109021,0.4903805044890979,0.018731019953015404,1.0367549124749187,0.961803090087094,0.08966470201217125,success,0.018731019953015404
instantiate,1,1824,898,926,0.7798204360837965,0.4923245614035088,0.5076754385964912,0.5096194955109021,0.4903805044890979,-0.017294934107393356,0.9660630445661132,1.0352683965799416,-0.3155437531082519,failure,0.017294934107393356
analyze apply-formula,2,506,250,256,0.21633176571184268,0.49407114624505927,0.5059288537549407,0.5096194955109021,0.4903805044890979,-0.015548349265842865,0.9694902777409342,1.0317067035159602,-0.0793002261048756,failure,0.015548349265842865
compute compute conclude,3,568,297,271,0.24283882000855067,0.522887323943662,0.477112676056338,0.5096194955109021,0.4903805044890979,0.013267828432759865,1.0260347740807259,0.9729438093249996,0.07000656847221715,success,0.013267828432759865
apply-formula compute compute compute,4,141,70,71,0.060282171868319794,0.49645390070921985,0.5035460992907801,0.5096194955109021,0.4903805044890979,-0.013165594801682279,0.9741658336903232,1.0268477125031688,-0.05592804269373077,failure,0.013165594801682279
compute apply-formula,2,461,241,220,0.19709277469003847,0.5227765726681128,0.4772234273318872,0.5096194955109021,0.4903805044890979,0.013157077157210706,1.025817452576104,0.9731696569566558,0.06542488595111276,success,0.013157077157210706
simplify,1,806,421,385,0.34459170585720394,0.5223325062034739,0.47766749379652607,0.5096194955109021,0.4903805044890979,0.012713010692571802,1.024946083900944,0.9740752118483648,0.077544421116877,success,0.012713010692571802
rewrite compute,2,674,352,322,0.28815733219324496,0.5222551928783383,0.47774480712166173,0.5096194955109021,0.4903805044890979,0.012635697367436194,1.0247943759584173,0.9742328717154025,0.07093979652800865,success,0.012635697367436194
compute conclude,2,1258,656,602,0.5378366823428816,0.5214626391096979,0.4785373608903021,0.5096194955109021,0.4903805044890979,0.011843143598795791,1.0232391886556906,0.9758490733412524,0.10247127158041311,success,0.011843143598795791
apply-formula instantiate,2,311,162,149,0.13296280461735785,0.5209003215434084,0.4790996784565916,0.5096194955109021,0.4903805044890979,0.011280826032506241,1.022135781954725,0.9769957697558568,0.05183636146440737,success,0.011280826032506241
compute apply-formula compute,3,225,117,108,0.09619495510902094,0.52,0.48,0.5096194955109021,0.4903805044890979,0.010380504489097886,1.0203691275167786,0.9788317349607671,0.0456423191939823,success,0.010380504489097886
apply-formula,1,1807,939,868,0.7725523728088927,0.5196458218040951,0.4803541781959048,0.5096194955109021,0.4903805044890979,0.010026326293193,1.0196741419461228,0.9795539867482314,0.1762187027362765,success,0.010026326293193
apply-formula apply-formula,2,112,56,56,0.04788371098760154,0.5,0.5,0.5096194955109021,0.4903805044890979,-0.009619495510902132,0.9811241610738254,1.0196163905841324,-0.04040046730259934,failure,0.009619495510902132
apply-formula rewrite rewrite,3,106,53,53,0.045318512184694314,0.5,0.5,0.5096194955109021,0.4903805044890979,-0.009619495510902132,0.9811241610738254,1.0196163905841324,-0.040291931722821285,failure,0.009619495510902132
rewrite simplify,2,329,165,164,0.14065840102607952,0.5015197568389058,0.49848024316109424,0.5096194955109021,0.4903805044890979,-0.008099738671996315,0.9841063013810408,1.0165172526188313,-0.03770568392958485,failure,0.008099738671996315
compute compute compute conclude,4,322,162,160,0.13766566908935443,0.5031055900621118,0.4968944099378882,0.5096194955109021,0.4903805044890979,-0.00651390544879038,0.9872180999624827,1.0132833695246037,-0.030238844355515063,failure,0.00651390544879038
apply-formula compute,2,799,412,387,0.34159897392047883,0.5156445556946183,0.48435544430538174,0.5096194955109021,0.4903805044890979,0.00602506018371618,1.0118226642363357,0.9877134997648542,0.03656172872519485,success,0.00602506018371618
instantiate apply-formula compute,3,294,151,143,0.12569474134245404,0.5136054421768708,0.48639455782312924,0.5096194955109021,0.4903805044890979,0.0039859466659686316,1.0078214171574669,0.9918717268947683,0.018078513303710516,success,0.0039859466659686316
compute,1,2035,1041,994,0.8700299273193672,0.5115479115479116,0.48845208845208843,0.5096194955109021,0.4903805044890979,0.0019284160370094394,1.0037840311330244,0.9960675108015996,0.05929210448482772,success,0.0019284160370094394
instantiate compute rewrite,3,126,64,62,0.05386917486105173,0.5079365079365079,0.49206349206349204,0.5096194955109021,0.4903805044890979,-0.0016829875743942235,0.9966975604559496,1.0034320034320032,-0.007349939879872923,failure,0.0016829875743942235
instantiate apply-formula rewrite,3,151,77,74,0.0645575032064985,0.5099337748344371,0.4900662251655629,0.5096194955109021,0.4903805044890979,0.000314279323535005,1.0006166940752923,0.9993591113010041,0.0011004144200357847,success,0.000314279323535005
compute simplify compute,3,104,53,51,0.04446344591705857,0.5096153846153846,0.49038461538461536,0.5096194955109021,0.4903805044890979,-4.110895517550617e-06,0.9999919334021682,1.0000083830728992,-0.00036643459552562,failure,4.110895517550617e-06
