motif,motif_len,support_total,support_correct,support_incorrect,support_rate,p_correct_given_motif,p_incorrect_given_motif,baseline_correct_rate,baseline_incorrect_rate,delta_correct_vs_baseline,lift_correct,lift_incorrect,log_odds_ratio,indicator_direction,indicator_strength
analyze,1,2469,1101,1368,0.9202385389489377,0.4459295261239368,0.5540704738760632,0.45956019381289603,0.540439806187104,-0.013630667688959208,0.970339755547869,1.0252214354548121,-0.6908267143239775,failure,0.013630667688959208
analyze compute,2,309,146,163,0.11516958628401043,0.47249190938511326,0.5275080906148867,0.45956019381289603,0.540439806187104,0.012931715572217228,1.0281393291810696,0.9760718669791317,0.05903330769486577,success,0.012931715572217228
rewrite compute,2,285,128,157,0.10622437569884458,0.44912280701754387,0.5508771929824562,0.45956019381289603,0.540439806187104,-0.010437386795352166,0.9772883140535849,1.0193127646702966,-0.046442552601830465,failure,0.010437386795352166
rewrite rewrite,2,183,86,97,0.06820723071188968,0.46994535519125685,0.5300546448087432,0.45956019381289603,0.540439806187104,0.010385161378360819,1.022598043777893,0.9807838703599021,0.04540020305368776,success,0.010385161378360819
check-constraint,1,722,339,383,0.26910175177040624,0.4695290858725762,0.5304709141274239,0.45956019381289603,0.540439806187104,0.009968892059680157,1.0216922444412992,0.9815541121406057,0.05494416834544547,success,0.009968892059680157
compare,1,336,157,179,0.12523294819232203,0.46726190476190477,0.5327380952380952,0.45956019381289603,0.540439806187104,0.007701710949008733,1.0167588730544934,0.9857491789819376,0.03573251839511099,success,0.007701710949008733
compute compute,2,1032,479,553,0.38464405516213196,0.4641472868217054,0.5358527131782945,0.45956019381289603,0.540439806187104,0.004587093008809384,1.0099814846250086,0.9915122961774926,0.030039984329331706,success,0.004587093008809384
factor,1,101,46,55,0.037644427879239654,0.45544554455445546,0.5445544554455446,0.45956019381289603,0.540439806187104,-0.0041146492584405725,0.9910465499104655,1.007613519972687,-0.015528191091497605,failure,0.0041146492584405725
analyze apply_formula,2,190,88,102,0.07081625046589639,0.4631578947368421,0.5368421052631579,0.45956019381289603,0.540439806187104,0.0035977009239460678,1.0078285738677593,0.9933430127041742,0.016291394121655343,success,0.0035977009239460678
derive-intermediate instantiate,2,171,78,93,0.06373462541930675,0.45614035087719296,0.543859649122807,0.45956019381289603,0.540439806187104,-0.003419842935703077,0.992558443960672,1.0063278886872353,-0.013751189412623398,failure,0.003419842935703077
compute compute compute compute,4,264,122,142,0.09839731643682445,0.4621212121212121,0.5378787878787878,0.45956019381289603,0.540439806187104,0.0025610183083160654,1.0055727592223942,0.9952612330198537,0.011940018842025765,success,0.0025610183083160654
compare compute,2,113,52,61,0.04211703317182259,0.46017699115044247,0.5398230088495575,0.45956019381289603,0.540439806187104,0.0006167973375464375,1.0013421470045718,0.9988587122368019,0.003935147340701688,success,0.0006167973375464375
