motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,q_value,abs_support_difference,abs_log_odds_ratio
apply-formula|rewrite|compute|conclude,4,35,0,0.3723404255319149,0.0,0.3723404255319149,372340425.53191483,3.657943653825423,5.849404547492396e-06,7.372686981735207e-05,0.3723404255319149,3.657943653825423
analyze|apply-formula|rewrite|compute,4,35,0,0.3723404255319149,0.0,0.3723404255319149,372340425.53191483,3.657943653825423,5.849404547492396e-06,7.372686981735207e-05,0.3723404255319149,3.657943653825423
apply-formula|rewrite|compute,3,35,0,0.3723404255319149,0.0,0.3723404255319149,372340425.53191483,3.657943653825423,5.849404547492396e-06,7.372686981735207e-05,0.3723404255319149,3.657943653825423
simplify|conclude,2,58,8,0.6170212765957447,0.25,0.3670212765957447,2.468085096510638,1.5303214477037757,0.00042546911144532957,0.0027312283788295914,0.3670212765957447,1.5303214477037757
derive-intermediate|conclude,2,34,0,0.3617021276595745,0.0,0.3617021276595745,361702127.65957445,3.612703228896155,1.2524701641211153e-05,0.00014032304616542126,0.3617021276595745,3.612703228896155
compute|simplify|conclude,3,33,0,0.35106382978723405,0.0,0.35106382978723405,351063829.787234,3.5668955339141855,1.3326068785541185e-05,0.00014658675664095303,0.35106382978723405,3.5668955339141855
apply-formula|simplify|conclude,3,31,0,0.32978723404255317,0.0,0.32978723404255317,329787234.0425531,3.4733349098285786,2.9622289167662863e-05,0.0002937948351874759,0.32978723404255317,3.4733349098285786
compute|compute|simplify|conclude,4,31,0,0.32978723404255317,0.0,0.32978723404255317,329787234.0425531,3.4733349098285786,2.9622289167662863e-05,0.0002937948351874759,0.32978723404255317,3.4733349098285786
analyze|apply-formula|simplify|conclude,4,31,0,0.32978723404255317,0.0,0.32978723404255317,329787234.0425531,3.4733349098285786,2.9622289167662863e-05,0.0002937948351874759,0.32978723404255317,3.4733349098285786
derive-intermediate|simplify,2,28,0,0.2978723404255319,0.0,0.2978723404255319,297872340.42553186,3.3270894095084333,0.000119457365896394,0.0009385935891859529,0.2978723404255319,3.3270894095084333
derive-intermediate|simplify|conclude,3,28,0,0.2978723404255319,0.0,0.2978723404255319,297872340.42553186,3.3270894095084333,0.000119457365896394,0.0009385935891859529,0.2978723404255319,3.3270894095084333
apply-formula|compute|compute,3,27,0,0.2872340425531915,0.0,0.2872340425531915,287234042.5531915,3.2764456766896783,0.0002532306714443358,0.0017814483281839901,0.2872340425531915,3.2764456766896783
apply-formula|compute|compute|conclude,4,27,0,0.2872340425531915,0.0,0.2872340425531915,287234042.5531915,3.2764456766896783,0.0002532306714443358,0.0017814483281839901,0.2872340425531915,3.2764456766896783
analyze|apply-formula|compute|compute,4,27,0,0.2872340425531915,0.0,0.2872340425531915,287234042.5531915,3.2764456766896783,0.0002532306714443358,0.0017814483281839901,0.2872340425531915,3.2764456766896783
analyze|apply-formula|rewrite|conclude,4,44,6,0.46808510638297873,0.1875,0.28058510638297873,2.4964538873947992,1.2788584089814656,0.006186079313378121,0.02253791132365522,0.28058510638297873,1.2788584089814656
apply-formula|rewrite|conclude,3,44,6,0.46808510638297873,0.1875,0.28058510638297873,2.4964538873947992,1.2788584089814656,0.006186079313378121,0.02253791132365522,0.28058510638297873,1.2788584089814656
compute|derive-intermediate,2,26,0,0.2765957446808511,0.0,0.2765957446808511,276595744.68085104,3.224698257619634,0.00024413297994247866,0.0017795235284963806,0.2765957446808511,3.224698257619634
derive-intermediate|compute,2,26,0,0.2765957446808511,0.0,0.2765957446808511,276595744.68085104,3.224698257619634,0.00024413297994247866,0.0017795235284963806,0.2765957446808511,3.224698257619634
derive-intermediate|compute|conclude,3,26,0,0.2765957446808511,0.0,0.2765957446808511,276595744.68085104,3.224698257619634,0.00024413297994247866,0.0017795235284963806,0.2765957446808511,3.224698257619634
analyze|isolate|conclude,3,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,0.0027312283788295914,0.26595744680851063,3.171738969489271
compute|derive-intermediate|conclude,3,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,0.0027312283788295914,0.26595744680851063,3.171738969489271
isolate|conclude,2,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,0.0027312283788295914,0.26595744680851063,3.171738969489271
analyze|apply-formula|isolate|conclude,4,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,0.0027312283788295914,0.26595744680851063,3.171738969489271
apply-formula|isolate,2,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,0.0027312283788295914,0.26595744680851063,3.171738969489271
analyze|apply-formula|isolate,3,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,0.0027312283788295914,0.26595744680851063,3.171738969489271
apply-formula|isolate|conclude,3,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,0.0027312283788295914,0.26595744680851063,3.171738969489271
analyze|isolate,2,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,0.0027312283788295914,0.26595744680851063,3.171738969489271
analyze|apply-formula|apply-formula|conclude,4,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.0027312283788295914,0.2553191489361702,3.1174476776280953
analyze|apply-formula|apply-formula,3,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.0027312283788295914,0.2553191489361702,3.1174476776280953
compute|derive-intermediate|simplify,3,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.0027312283788295914,0.2553191489361702,3.1174476776280953
apply-formula|apply-formula|conclude,3,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.0027312283788295914,0.2553191489361702,3.1174476776280953
compute|derive-intermediate|compute,3,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.0027312283788295914,0.2553191489361702,3.1174476776280953
compute|derive-intermediate|compute|conclude,4,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.0027312283788295914,0.2553191489361702,3.1174476776280953
derive-intermediate|compute|simplify|conclude,4,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.0027312283788295914,0.2553191489361702,3.1174476776280953
compute|derive-intermediate|simplify|conclude,4,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.0027312283788295914,0.2553191489361702,3.1174476776280953
compute|derive-intermediate|compute|simplify,4,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.0027312283788295914,0.2553191489361702,3.1174476776280953
derive-intermediate|compute|simplify,3,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.0027312283788295914,0.2553191489361702,3.1174476776280953
apply-formula|apply-formula,2,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.0027312283788295914,0.2553191489361702,3.1174476776280953
compute|compute|derive-intermediate|conclude,4,23,0,0.24468085106382978,0.0,0.24468085106382978,244680851.06382975,3.0616902413457883,0.0009343197051874346,0.00491533410120346,0.24468085106382978,3.0616902413457883
compute|compute|derive-intermediate,3,23,0,0.24468085106382978,0.0,0.24468085106382978,244680851.06382975,3.0616902413457883,0.0009343197051874346,0.00491533410120346,0.24468085106382978,3.0616902413457883
compute|compute|derive-intermediate|simplify,4,23,0,0.24468085106382978,0.0,0.24468085106382978,244680851.06382975,3.0616902413457883,0.0009343197051874346,0.00491533410120346,0.24468085106382978,3.0616902413457883
analyze|apply-formula|rewrite|rewrite,4,22,0,0.23404255319148937,0.0,0.23404255319148937,234042553.19148934,3.0043160172453827,0.0009799561480955674,0.004982129996620322,0.23404255319148937,3.0043160172453827
compute|compute|derive-intermediate|compute,4,22,0,0.23404255319148937,0.0,0.23404255319148937,234042553.19148934,3.0043160172453827,0.0009799561480955674,0.004982129996620322,0.23404255319148937,3.0043160172453827
apply-formula|rewrite|rewrite,3,22,0,0.23404255319148937,0.0,0.23404255319148937,234042553.19148934,3.0043160172453827,0.0009799561480955674,0.004982129996620322,0.23404255319148937,3.0043160172453827
apply-formula|rewrite|rewrite|conclude,4,22,0,0.23404255319148937,0.0,0.23404255319148937,234042553.19148934,3.0043160172453827,0.0009799561480955674,0.004982129996620322,0.23404255319148937,3.0043160172453827
simplify|isolate|conclude,3,21,0,0.22340425531914893,0.0,0.22340425531914893,223404255.3191489,2.945154798810463,0.001770736158382049,0.008240733660162612,0.22340425531914893,2.945154798810463
apply-formula|rewrite|compute|compute,4,21,0,0.22340425531914893,0.0,0.22340425531914893,223404255.3191489,2.945154798810463,0.001770736158382049,0.008240733660162612,0.22340425531914893,2.945154798810463
apply-formula|simplify|isolate,3,21,0,0.22340425531914893,0.0,0.22340425531914893,223404255.3191489,2.945154798810463,0.001770736158382049,0.008240733660162612,0.22340425531914893,2.945154798810463
analyze|simplify|isolate,3,21,0,0.22340425531914893,0.0,0.22340425531914893,223404255.3191489,2.945154798810463,0.001770736158382049,0.008240733660162612,0.22340425531914893,2.945154798810463
apply-formula|simplify|isolate|conclude,4,21,0,0.22340425531914893,0.0,0.22340425531914893,223404255.3191489,2.945154798810463,0.001770736158382049,0.008240733660162612,0.22340425531914893,2.945154798810463
simplify|isolate,2,21,0,0.22340425531914893,0.0,0.22340425531914893,223404255.3191489,2.945154798810463,0.001770736158382049,0.008240733660162612,0.22340425531914893,2.945154798810463
analyze|apply-formula|simplify|isolate,4,21,0,0.22340425531914893,0.0,0.22340425531914893,223404255.3191489,2.945154798810463,0.001770736158382049,0.008240733660162612,0.22340425531914893,2.945154798810463
analyze|simplify|isolate|conclude,4,21,0,0.22340425531914893,0.0,0.22340425531914893,223404255.3191489,2.945154798810463,0.001770736158382049,0.008240733660162612,0.22340425531914893,2.945154798810463
apply-formula|rewrite,2,44,8,0.46808510638297873,0.25,0.21808510638297873,1.8723404180425531,0.932122806945291,0.03786467938353405,0.08777061696183179,0.21808510638297873,0.932122806945291
analyze|apply-formula|rewrite,3,44,8,0.46808510638297873,0.25,0.21808510638297873,1.8723404180425531,0.932122806945291,0.03786467938353405,0.08777061696183179,0.21808510638297873,0.932122806945291
rewrite|rewrite|compute,3,20,0,0.2127659574468085,0.0,0.2127659574468085,212765957.4468085,2.8840130306544856,0.0019306216410910505,0.008848682521667315,0.2127659574468085,2.8840130306544856
rewrite|rewrite|compute|conclude,4,20,0,0.2127659574468085,0.0,0.2127659574468085,212765957.4468085,2.8840130306544856,0.0019306216410910505,0.008848682521667315,0.2127659574468085,2.8840130306544856
analyze|rewrite|rewrite|compute,4,19,0,0.20212765957446807,0.0,0.20212765957446807,202127659.57446805,2.8206690792103593,0.003334399770816318,0.014307176321587749,0.20212765957446807,2.8206690792103593
derive-intermediate|derive-intermediate,2,19,0,0.20212765957446807,0.0,0.20212765957446807,202127659.57446805,2.8206690792103593,0.003334399770816318,0.014307176321587749,0.20212765957446807,2.8206690792103593
derive-intermediate|derive-intermediate|conclude,3,19,0,0.20212765957446807,0.0,0.20212765957446807,202127659.57446805,2.8206690792103593,0.003334399770816318,0.014307176321587749,0.20212765957446807,2.8206690792103593
simplify|simplify,2,19,0,0.20212765957446807,0.0,0.20212765957446807,202127659.57446805,2.8206690792103593,0.003334399770816318,0.014307176321587749,0.20212765957446807,2.8206690792103593
simplify|simplify|conclude,3,19,0,0.20212765957446807,0.0,0.20212765957446807,202127659.57446805,2.8206690792103593,0.003334399770816318,0.014307176321587749,0.20212765957446807,2.8206690792103593
apply-formula|isolate|compute,3,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
analyze|simplify|simplify|conclude,4,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
apply-formula|simplify|simplify,3,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
analyze|isolate|compute,3,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
isolate|compute,2,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
apply-formula|isolate|compute|conclude,4,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
isolate|compute|conclude,3,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
analyze|apply-formula|isolate|compute,4,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
analyze|simplify|simplify,3,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
simplify|compute|conclude,3,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
simplify|compute,2,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
analyze|apply-formula|simplify|simplify,4,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
analyze|isolate|compute|conclude,4,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
apply-formula|simplify|simplify|conclude,4,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.02253791132365522,0.19148936170212766,2.754867261147426
compute|conclude,2,76,20,0.8085106382978723,0.625,0.18351063829787229,1.2936170192068084,0.924823766912104,0.05301191521638727,0.12057221318012895,0.18351063829787229,0.924823766912104
analyze|simplify|compute|conclude,4,17,0,0.18085106382978725,0.0,0.18085106382978725,180851063.82978722,2.686310214465804,0.0062449735929163445,0.02253791132365522,0.18085106382978725,2.686310214465804
apply-formula|simplify|compute,3,17,0,0.18085106382978725,0.0,0.18085106382978725,180851063.82978722,2.686310214465804,0.0062449735929163445,0.02253791132365522,0.18085106382978725,2.686310214465804
analyze|simplify|compute,3,17,0,0.18085106382978725,0.0,0.18085106382978725,180851063.82978722,2.686310214465804,0.0062449735929163445,0.02253791132365522,0.18085106382978725,2.686310214465804
apply-formula|simplify|compute|conclude,4,17,0,0.18085106382978725,0.0,0.18085106382978725,180851063.82978722,2.686310214465804,0.0062449735929163445,0.02253791132365522,0.18085106382978725,2.686310214465804
analyze|apply-formula|simplify|compute,4,17,0,0.18085106382978725,0.0,0.18085106382978725,180851063.82978722,2.686310214465804,0.0062449735929163445,0.02253791132365522,0.18085106382978725,2.686310214465804
analyze|isolate|simplify|conclude,4,16,0,0.1702127659574468,0.0,0.1702127659574468,170212765.95744678,2.6146490260138093,0.011296144407113854,0.0345144882887445,0.1702127659574468,2.6146490260138093
apply-formula|isolate|simplify,3,16,0,0.1702127659574468,0.0,0.1702127659574468,170212765.95744678,2.6146490260138093,0.011296144407113854,0.0345144882887445,0.1702127659574468,2.6146490260138093
