motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
analyze|compute|compute => compute,4,15,24,0.1595744680851064,0.75,-0.5904255319148937,0.21276595716312058,-2.693523951789496,1.883357778385641e-09,analyze|compute|compute,compute,3,1,0.4838709677419355,0.96,0.5831265501657441,1.1815384600842604,-0.47612903225806447,3.83861337878708e-08,0.5904255319148937,2.693523951789496
compute => rewrite|compute|compute,4,4,20,0.0425531914893617,0.625,-0.5824468085106383,0.06808510627404256,-3.4959686957657135,1.775710873510482e-11,compute,rewrite|compute|compute,1,3,0.05128205128205128,0.7692307692307693,0.17853751124927011,1.1188811172536555,-0.717948717948718,1.5093722352420869e-09,0.5824468085106383,3.4959686957657135
compute|rewrite => compute|compute,4,4,20,0.0425531914893617,0.625,-0.5824468085106383,0.06808510627404256,-3.4959686957657135,1.775710873510482e-11,compute|rewrite,compute|compute,2,2,0.23529411764705882,0.9523809523809523,0.3813387417754774,1.1721611707185122,-0.7170868347338935,1.5093722352420869e-09,0.5824468085106383,3.4959686957657135
analyze => instantiate|rewrite|compute,4,13,23,0.13829787234042554,0.71875,-0.5804521276595744,0.19241443081462414,-2.7036219573460514,2.0910734359151413e-09,analyze,instantiate|rewrite|compute,1,3,0.19402985074626866,0.7419354838709677,1.3027718462634787,1.032258063079944,-0.5479056331246991,3.83861337878708e-08,0.5804521276595744,2.7036219573460514
analyze|instantiate => rewrite|compute,4,13,23,0.13829787234042554,0.71875,-0.5804521276595744,0.19241443081462414,-2.7036219573460514,2.0910734359151413e-09,analyze|instantiate,rewrite|compute,2,2,0.5416666666666666,0.7931034482758621,1.2123015845883407,1.1034482743268366,-0.25143678160919547,3.83861337878708e-08,0.5804521276595744,2.7036219573460514
analyze|instantiate|rewrite => compute,4,13,23,0.13829787234042554,0.71875,-0.5804521276595744,0.19241443081462414,-2.7036219573460514,2.0910734359151413e-09,analyze|instantiate|rewrite,compute,3,1,0.7647058823529411,0.8518518518518519,0.9215686263403721,1.0484330471426693,-0.08714596949891074,3.83861337878708e-08,0.5804521276595744,2.7036219573460514
instantiate => rewrite|compute|compute,4,11,22,0.11702127659574468,0.6875,-0.5704787234042553,0.17021276570986463,-2.744639648534502,1.998295179731658e-09,instantiate,rewrite|compute|compute,1,3,0.44,0.7586206896551724,1.5318518465187378,1.1034482742570533,-0.3186206896551724,3.83861337878708e-08,0.5704787234042553,2.744639648534502
instantiate|rewrite => compute|compute,4,11,22,0.11702127659574468,0.6875,-0.5704787234042553,0.17021276570986463,-2.744639648534502,1.998295179731658e-09,instantiate|rewrite,compute|compute,2,2,0.6111111111111112,0.8148148148148148,0.9904214543335317,1.0028490016147271,-0.2037037037037036,3.83861337878708e-08,0.5704787234042553,2.744639648534502
instantiate|rewrite|compute => compute,4,11,22,0.11702127659574468,0.6875,-0.5704787234042553,0.17021276570986463,-2.744639648534502,1.998295179731658e-09,instantiate|rewrite|compute,compute,3,1,0.7857142857142857,0.9565217391304348,0.9468864457453273,1.1772575236346798,-0.1708074534161491,3.83861337878708e-08,0.5704787234042553,2.744639648534502
instantiate => rewrite|compute,3,14,23,0.14893617021276595,0.71875,-0.569813829787234,0.20721554087728752,-2.619817157541607,5.001548520290841e-09,instantiate,rewrite|compute,1,2,0.56,0.7931034482758621,1.2533333305282541,1.1034482743268366,-0.23310344827586205,7.790290725543917e-08,0.569813829787234,2.619817157541607
