token,question_presence,questions_used,mean_delta,median_delta,mean_question_baseline,median_question_baseline,ci95_low,ci95_high,sign_test_p,bh_q,sign_pos,sign_neg,sign_n_nonzero,avg_question_trace_len,length_control_residual
action:rewrite,3,3,0.2582101806239738,0.1724137931034483,0.7555555555555555,0.8333333333333334,0.13793103448275867,0.46428571428571425,0.25,0.35,3,0,3,1.0,0.24240703459653962
action:compute,4,4,0.25071839080459773,0.20833333333333337,0.7583333333333333,0.8,0.1522988505747127,0.37787356321839083,0.125,0.35,4,0,4,1.0,0.23491524477716358
action:instantiate,6,6,0.15266701532759683,0.15493836792011234,0.6833333333333335,0.8666666666666667,-0.041985951468710064,0.3246346283871639,0.21875,0.35,5,1,6,1.0,0.13686386930016267
action:apply-formula,6,6,0.14601319710515112,0.09907407407407406,0.5333333333333333,0.7,0.026494252873563207,0.29540229885057473,0.21875,0.35,5,1,6,1.0,0.13021005107771697
action:analyze,14,13,0.09096075794932665,0.11961722488038273,0.6435897435897436,0.8333333333333334,-0.004031262017687346,0.19319178558997566,0.5810546875,0.6778971354166666,8,5,13,1.0,0.0751576119218925
action:simplify,2,2,-0.09770114942528729,-0.09770114942528729,0.8500000000000001,0.8500000000000001,-0.8620689655172413,0.6666666666666667,1.0,1.0,1,1,2,1.0,-0.11350429545272143
__NO_FIRST_ACTION__,13,13,-0.6902463701933198,-0.8928571428571429,0.6435897435897436,0.8333333333333334,-0.866077433716691,-0.4888544503929119,0.000244140625,0.001708984375,0,13,13,1.0,-0.706049516220754
