token,question_presence,n_q_1_vs_0,mean_delta_1_vs_0,median_delta_1_vs_0,p_1_vs_0,q_1_vs_0,n_q_2plus_vs_0,mean_delta_2plus_vs_0,median_delta_2plus_vs_0,p_2plus_vs_0,q_2plus_vs_0
noise:corrupted-span,15,15,-0.6215164127338041,-0.8,0.00738525390625,0.07861328125,8,-0.24545691023951893,-0.07323232323232323,0.453125,0.625
action:instantiate,12,12,0.2444644941052987,0.16954022988505746,0.03857421875,0.1080078125,5,-0.025000000000000005,-0.023076923076923078,0.625,0.625
action:analyze,14,12,0.18021316297060005,0.12903938167096057,0.14599609375,0.2271050347222222,8,0.33480235042735046,0.2435897435897436,0.125,0.2271050347222222
action:simplify,11,11,0.0836771919349052,0.1578947368421053,0.548828125,0.625,4,0.41129385964912285,0.368421052631579,0.625,0.625
action:conclude,13,13,0.3521286551293696,0.3571428571428571,0.0224609375,0.07861328125,2,0.4119047619047619,0.4119047619047619,0.5,0.625
action:compute,15,12,0.549889122315593,0.7125,0.021484375,0.07861328125,13,0.48508727655786477,0.625,0.09228515625,0.21533203125
action:apply-formula,12,12,0.43873733227181505,0.6047077922077922,0.14599609375,0.2271050347222222,8,0.5599206349206349,0.625,0.015625,0.07861328125
