token,question_presence,questions_used,mean_delta,median_delta,mean_question_baseline,median_question_baseline,ci95_low,ci95_high,sign_test_p,bh_q,sign_pos,sign_neg,sign_n_nonzero,avg_question_trace_len,length_control_residual
action:compute,15,15,0.5614032551705186,0.6666666666666667,0.66,0.8333333333333334,0.3535423431356935,0.7551221001221001,0.00738525390625,0.025848388671875,13,2,15,11.955555555555556,0.4148403589254419
action:apply-formula,12,12,0.4097110445498751,0.5888975155279503,0.6277777777777778,0.8333333333333334,0.09668893457311749,0.6676089309241483,0.03857421875,0.0675048828125,10,2,12,11.463888888888889,0.0885822691863854
action:conclude,13,13,0.3531408008783575,0.3571428571428571,0.7,0.8333333333333334,0.2057531457983947,0.49886395655626425,0.0224609375,0.052408854166666664,11,2,13,12.102564102564104,0.25877317835491037
action:instantiate,12,12,0.23346952774268526,0.16954022988505746,0.638888888888889,0.8500000000000001,0.09459929757343549,0.38352754525168314,0.0654296875,0.0916015625,9,2,11,11.772222222222224,0.021814269792437946
