signal,n,mean_correct,mean_incorrect,pearson_with_correct,spearman_with_correct,auc_correct_when_higher,cohen_d_correct_minus_incorrect,best_threshold_accuracy,best_threshold,best_threshold_direction
failure_signal,262,0.938931,7.057235,-0.510872,-0.561648,0.159002,-1.309705,0.832061,2.294245,le
log_success_to_failure_ratio,262,16.682658,5.352928,0.469163,0.543937,0.847380,1.170829,0.835878,3.383376,ge
success_to_failure_ratio,262,69684113675.393494,10079891984.449743,0.385168,0.543937,0.847380,0.919828,0.835878,29.613868,ge
net_signal,262,115.206935,76.770907,0.293587,0.278890,0.678111,0.676855,0.763359,28.842394,ge
success_signal,262,116.145866,83.828141,0.255658,0.251537,0.660642,0.582804,0.751908,29.092525,ge
trace_length,262,17.171123,16.480000,0.045168,0.047118,0.530053,0.099646,0.713740,1.000000,ge
