token,question_presence,questions_used,mean_delta,median_delta,mean_question_baseline,median_question_baseline,ci95_low,ci95_high,sign_test_p,bh_q,sign_pos,sign_neg,sign_n_nonzero,avg_question_trace_len,length_control_residual
conclude,23,21,0.5079738078806402,0.5,0.6621401271301123,0.8461538461538461,0.3305046173058595,0.6822161424956457,0.0025768280029296875,0.006871541341145833,17,3,20,9.581568558809607,0.07844796303434243
compute,24,20,0.5020058130275522,0.5412486064659978,0.666920922660407,0.8156498673740054,0.315362955884695,0.6851410256410256,0.0025768280029296875,0.006871541341145833,17,3,20,9.638446132049236,0.09630911865327962
rewrite,18,18,0.38183938200210765,0.255,0.7018151026040722,0.8156498673740054,0.21036075586418834,0.5563650825918816,0.001312255859375,0.006871541341145833,16,2,18,9.609397160296034,-0.03602752779342289
simplify,22,22,0.37416039507340454,0.32875457875457875,0.6663862829676325,0.8541114058355437,0.2154069415433052,0.5406120316465144,0.01690053939819336,0.02253405253092448,17,5,22,9.441160560345198,-0.11419009949534725
instantiate,18,12,0.3435185874162912,0.15060728744939267,0.728906025132583,0.8156498673740054,0.14700065953806923,0.5663844906001768,0.00634765625,0.0126953125,11,1,12,10.068677389637765,0.11806948081538243
apply-formula,20,20,0.32368589080002125,0.3462301587301587,0.5992367734762578,0.7324393358876118,0.10398792270531403,0.5374445461945462,0.01181793212890625,0.01890869140625,16,4,20,9.812904174007276,-0.008920713823785953
derive-intermediate,19,18,0.13092640825693158,0.09999999999999999,0.6471808422422576,0.754985754985755,-0.012121068525760918,0.3041379366117216,0.143463134765625,0.16395786830357142,12,5,17,10.087038662240941,-0.08683014919326693
analyze,22,15,0.09595513693467657,0.04901960784313719,0.6676457452596736,0.8461538461538461,-0.09276386898126028,0.30503649575772335,0.4239501953125,0.4239501953125,9,5,14,10.265920229496293,-0.04685807219717868
